,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
409,123603,4,15,19,18,66,34,"('Constellation Schools: Puritas Community Elementary', (41.451618100000005, -81.8122006))",1,4,7,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",13,8,246,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
193,123700,6,20,20,21,219,114,"('Clara E Westropp School', (41.43346210000001, -81.831315))",4,4,250,67,"('Lewis F Mayer Middle School', (41.4419043, -81.85534870000001))",17,9,392,67,()
288,123800,5,18,19,19,299,114,"('Clara E Westropp School', (41.43346210000001, -81.831315))",3,4,381,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",15,8,418,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
289,123900,5,13,16,16,321,4,"('Menlo Park Academy', (41.4613842, -81.79553259999999))",2,4,201,40,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",11,7,89,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
194,124100,5,13,13,15,181,134,"('McKinley School', (41.461659000000004, -81.774703))",2,4,68,39,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",11,7,94,39,"('New Technology West', (41.448097, -81.7695879))"
65,124201,5,14,18,17,308,34,"('Constellation Schools: Puritas Community Elementary', (41.451618100000005, -81.8122006))",3,4,100,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",13,8,64,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
195,124202,5,16,18,18,174,95,"('Robinson G Jones Elementary School', (41.429947600000006, -81.80178520000001))",4,4,227,40,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",14,8,216,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
290,124300,4,13,17,16,155,130,"('Artemus Ward', (41.436486200000004, -81.7900523))",3,4,276,40,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",13,8,97,40,"('John Marshall High School', (41.4474078, -81.79126120000001))"
291,124500,5,20,19,19,58,95,"('Robinson G Jones Elementary School', (41.429947600000006, -81.80178520000001))",4,4,373,60,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",12,6,298,60,"('West Park Academy', (41.426533, -81.77850179999999))"
94,124600,5,15,17,17,154,125,"('West Preparatory Academy', (41.424784, -81.7813429))",2,4,390,60,"('Brooklyn Middle School', (41.4307373, -81.7485671))",11,6,53,60,"('West Park Academy', (41.426533, -81.77850179999999))"
410,126100,5,24,16,12,132,154,"('Euclid Park Elementary School', (41.5535114, -81.5529091))",6,4,267,42,"('Euclid Central Middle School', (41.5695433, -81.5360939))",11,4,320,42,"('Ginn Academy', (41.563568200000006, -81.5668244))"
