,TRACT,MIN_DOWN,MEDIAN_DOWN,MAX_DOWN,library_in_1.5_miles_count
404,183502,0.768,6,75,3
405,185101,0.768,5,75,1
406,194100,0.768,5,75,0
407,196100,0.768,6,75,0
408,121800,0.768,6,75,2
409,123603,0.768,10.5,75,2
410,126100,0.768,6,75,0
411,134300,0.768,5,75,1
412,137103,0.768,6,75,1
413,152501,0.768,6,75,1
414,154400,0.768,5,300,0
415,186106,0.768,6,300,1
416,107000,0.768,6,300,1
417,152303,0.768,6,75,1
418,153105,0.768,6,75,1
419,154100,0.768,5,75,0
420,178102,0.768,6,75,1
421,134204,0.768,5,75,1
422,185104,2,6,75,2
423,152502,0.768,6,75,1
424,116600,0.768,6,75,3
425,174206,0.768,6,75,1
426,135105,0.768,6,1000,0
427,101800,0.768,5,75,2
428,121900,0.768,6,75,3
429,151500,0.768,6,75,3
430,160602,0.768,6,75,2
431,106200,0.768,5,75,2
432,183100,0.768,6,75,4
433,189109,0.768,15,75,1
434,109701,0.768,15,75,4
435,151400,1.5,15,75,2
436,105300,0.768,15,75,5
437,141400,0.768,6,75,3
438,188106,0.768,6,75,1
439,115100,0.768,6,75,2
440,172103,0.768,6,1000,0
441,196500,2,6,1000,4
442,138107,0.768,6,75,1
443,108400,0.768,6,50,2
444,117800,0.768,6,1000,1
445,140400,0.768,6,50,1
