,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
55,184106,1,1,5,0,0.38505774429631934,107.88,"('Grace L Roxbury Elementary School', (41.3739726, -81.44290409999999))",2,0,0.41820008750242227,113.11399999999999,"('Orchard Middle School', (41.3741941, -81.43982109999999))",1,0,0.18650673893890804,113.11399999999999,"('Solon High School', (41.37767, -81.44103879999999))"
56,185202,1,15,12,6,0.2673953313857518,95.3,"('Rowland Elementary School', (41.509168, -81.526237))",3,1,1.5634603123123323,91.805,"('Memorial Junior High School', (41.5258261, -81.5078735))",3,0,0.7729640357396137,91.805,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
57,186107,0,5,4,0,1.0356566366720323,103.43299999999999,"('Whitney Elementary School', (41.344397, -81.79040690000001))",2,0,0.09778597672962193,0.0,"('Albion Middle School', (41.3312685, -81.7997838))",0,0,1.7976931348623157e+308,0.0,()
58,187104,0,16,14,4,0.332355192938806,96.181,"('Canterbury Elementary School', (41.492090999999995, -81.55031899999999))",3,0,1.2226400705219003,91.805,"('Shaker Hts Middle School', (41.4771695, -81.53185))",3,0,0.89483080605407,91.805,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
59,195600,0,1,3,0,1.0238381534284726,86.45,"('Carylwood Intermediate School', (41.3759144, -81.5167646))",1,0,1.2175849581125908,93.007,"('Heskett Middle School', (41.4043559, -81.4978656))",3,1,1.5064983823824436,93.007,"('Bedford High School', (41.402332, -81.52539909999999))"
60,981100,0,8,6,1,1.0255192332915255,102.71799999999999,"('Brook Park Memorial Elementary School', (41.395858000000004, -81.817727))",2,0,1.1496964704613306,101.944,"('Ford Intermediate School', (41.3935777, -81.8178248))",1,0,2.4849047115047385,101.944,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
61,120702,1,14,24,15,0.2007337296846027,64.025,"('Charles Dickens School', (41.4561847, -81.59171359999999))",3,1,0.35488107945197195,72.48899999999999,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",7,3,0.5964131156244928,72.48899999999999,"('John Adams High School', (41.4544124, -81.6016219))"
62,121300,0,12,22,16,0.5314768773161039,60.07,"('Miles Park School', (41.4482709, -81.62155600000001))",3,1,1.276904088008798,72.48899999999999,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",4,2,0.8387514114411536,72.48899999999999,"('John Adams High School', (41.4544124, -81.6016219))"
63,122100,0,9,14,10,0.7843309352190523,68.009,"('Adlai Stevenson School', (41.454660100000005, -81.55096879999999))",3,3,1.0391686724657685,101.243,"('Warrensville Heights Middle School', (41.4435489, -81.53521579999999))",7,4,0.3658530349117751,101.243,"('Whitney Young School', (41.4487351, -81.5528087))"
64,123502,1,22,15,7,0.2679370015090252,113.70700000000001,"('Menlo Park Academy', (41.4613842, -81.79553259999999))",5,1,0.8601776894983227,85.13799999999999,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",5,2,0.8052336063699651,85.13799999999999,"('John Marshall High School', (41.4474078, -81.79126120000001))"
65,124201,1,19,12,6,0.757289814071012,104.928,"('Constellation Schools: Puritas Community Elementary', (41.451618100000005, -81.8122006))",5,1,0.757289814071012,85.13799999999999,"('Constellation Schools: Puritas Community Middle', (41.451618100000005, -81.8122006))",4,1,0.42627998114909915,85.13799999999999,"('John Marshall High School', (41.4474078, -81.79126120000001))"
66,130103,0,3,1,0,0.5487656207551627,110.51899999999999,"('Westerly Elementary School', (41.4843389, -81.95517290000001))",1,0,1.7766259872445163,109.01100000000001,"('Bay Middle School', (41.4841402, -81.9268821))",1,0,0.902105741668671,109.01100000000001,"('Bay High School', (41.486959999999996, -81.943391))"
67,131104,1,12,7,1,0.9547726908557345,111.34,"('Hilltop Elementary School', (41.4970588, -81.505206))",2,0,0.8726910331227734,108.96600000000001,"('Beachwood Middle School', (41.481005100000004, -81.50058990000001))",3,0,0.7644227984445926,108.96600000000001,"('Beachwood High School', (41.4840561, -81.5013459))"
68,134100,0,2,2,0,1.6219615807639594,104.863,"('Grindstone Elementary School', (41.3603368, -81.86606970000001))",1,0,2.1389324727416206,101.944,"('Ford Intermediate School', (41.3935777, -81.8178248))",1,0,0.8708809047013043,101.944,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
69,138109,1,8,6,2,0.013708258218967023,100.24700000000001,"('Brookview Elementary School', (41.4044776, -81.7924194))",3,0,1.0924642932511903,72.967,"('Greenbriar Middle School', (41.3964556, -81.7743444))",3,3,1.1600584557754048,72.967,"('Quest Community School', (41.4062808, -81.7704122))"
